CELLNAME,INSTCOUNT,LOWERLEFT_X,LOWERLEFT_Y,WIDTH,HEIGHT,DEVCOUNT,FUBLIST,INSTCOUNT SUMMARY
gio_gsr_gnac_2tap4t,1066,0,-7830,0.464,1.566,2,giodpl:giodpp:giopcichunk:giopcicom,datap->(1066)
gio_gsr_gnac_2tap4t_vccp,152,0,-7830,0.464,1.566,2,gioddrcmdn:gioddrcmds:gioddrcomp,datap->(152)
gio_passgate_0524_0032,56,0,-7830,0.348,1.566,2,gioddrcmdn,datap->(56)
gio_std_inv_p_7_n_6,658,0,-7830,2.204,1.566,32,giodpl:giodpp:giolgcana:giolgcitp:giolgcpcudbg:giolgcpwr:giolgcsb,datap->(658)
gio_x8idc_inv_d_0_3_0_24,4,0,-7830,0.348,1.566,2,giopcicom,datap->(4)
gio_x8idc_inv_d_1_5_1_2,4,0,-7830,0.696,1.566,8,giopcicom,datap->(4)
gio_x8pllcolfillertpedg_no_m4,7,0,0,1.624,1.566,8,giopcicom,datap->(7)
gio_x8yxxtap_no_m1,8,0,-7830,0.348,1.566,0,giopcicom,datap->(8)
gio_yg0inn00lnpb0_vccp,38,0,-7830,0.348,1.566,2,giodpl:giodpp:giopcichunk:giopcicom,datap->(38)
gio_yg0nan02ln1d3_vccp,38,0,-7830,0.464,1.566,4,giodpl:giodpp:giopcichunk:giopcicom,datap->(38)
gio_yxxinn00nb0d0_05,56,0,-7830,0.464,1.566,2,gioddrcmdn,datap->(56)
gioclksplit_inn_6038,180,580,-7830,0.58,1.566,6,giogdxcchunk:giopcichunk,datap->(180)
gioclksplit_inv_6038,1620,580,-7830,0.58,1.566,4,giogdxcchunk:giopcichunk,datap->(1620)
gioddr_yxxinn00lb0c0_ob,540,0,-7830,0.464,1.566,2,gioddrclk:gioddrcmdn:gioddrcmds:gioddrcomp:gioddrdata,datap->(540)
gioddrcomp_muxbit,15,580,0,1.45,1.566,12,gioddrcomp,datap->(15)
gioddrdll_2tap,1264,0,-7830,0.232,1.566,0,gioddrclk:gioddrcmdn:gioddrcmds:gioddrdata,datap->(1264)
gioddrdll_gnac,264,0,-7830,0.464,1.566,2,gioddrclk:gioddrcmdn:gioddrcmds:gioddrdata,datap->(264)
gioddrdll_inv_0352_0320,32,0,-7830,0.348,1.566,2,gioddrclk:gioddrcmdn:gioddrcmds:gioddrdata,datap->(32)
gioddrdll_invvxxp0_6n0_45_s,144,1160,-7830,0.116,1.566,2,gioddrclk:gioddrcmdn:gioddrcmds:gioddrdata,datap->(144)
gioddrdllyxxclkinv2_n,80,0,-7830,0.464,1.566,4,gioddrclk:gioddrcmdn:gioddrcmds:gioddrdata,datap->(80)
giodppnor03,4,0,-7830,0.464,1.566,4,giodpp,datap->(4)
giolgc_passgate_7,1148,0,-7830,3.364,1.566,40,giolgcana:giolgcitp:giolgcpcudbg:giolgcpwr:giolgcsb,datap->(1148)
giopci2tap,3000,0,-7830,0.232,1.566,0,giopcichunk,datap->(3000)
giopci_ana_vnand_0_4_0_058,20,1160,-7830,0.928,1.566,4,giopcichunk,datap->(20)
giopci_ana_vnor_0_4_0_058,50,1160,-7830,0.928,1.566,4,giopcichunk,datap->(50)
giopci_ana_vnot_0_2_0_058,10,1160,-7830,0.696,1.566,2,giopcichunk,datap->(10)
giopci_ana_vnot_0_4_0_058,20,1160,-7830,0.696,1.566,2,giopcichunk,datap->(20)
giopci_ana_vnot_0_5_0_058,20,1160,-7830,0.696,1.566,2,giopcichunk,datap->(20)
giopci_anainv_p0_346_n0_315,50,0,-7830,1.392,1.566,2,giopcichunk,datap->(50)
giopci_anainv_pn0_2,850,0,-7830,0.928,1.566,2,giopcichunk,datap->(850)
giopci_anainv_pn_1,1000,0,-7830,1.16,1.566,4,giodpl:giodpp:giopcichunk,datap->(1000)
giopci_icomp_tx_rep_upvcc0,5,0,0,1.392,1.566,6,giopcicom,datap->(5)
giopci_invll_p0_77_n0_7,20,0,-7830,0.928,1.566,4,giopcichunk,datap->(20)
giopci_rx_switch2,500,0,-7830,1.16,1.566,3,giopcichunk,datap->(500)
giopcibasicfill,3290,0,-7830,0.928,1.566,10,giopcichunk,datap->(3290)
giopcidecand,320,0,0,0.464,1.566,8,giopcichunk,datap->(320)
giopcidecor,320,0,0,0.464,1.566,8,giopcichunk,datap->(320)
giopcidinvp140n120,20,2320,-7830,0.348,1.566,2,giopcichunk,datap->(20)
giopcidinvp300n190_s,720,3480,-7830,0.116,1.566,2,giopcichunk,datap->(720)
giopcidinvp360n280,20,2320,-7830,0.348,1.566,2,giopcichunk,datap->(20)
giopcidinvp380p,4,3480,-7830,0.116,1.566,2,giodpp,datap->(4)
giopcidinvp380pqn3,4,3480,-7830,0.116,1.566,2,giodpp,datap->(4)
giopcidinvp400n400,640,2320,-7830,0.348,1.566,2,giopcichunk,datap->(640)
giopcidinvp410n320,80,2320,-7830,0.348,1.566,2,giopcichunk,datap->(80)
