YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0bfn30ln1g5,yg0bfn30nn1g5,1.74,1.566,24
yg0bfn30ln1h0,yg0bfn30nn1h0,2.204,1.566,32
yg0bfn30ln1h5,yg0bfn30nn1h5,2.436,1.566,36
yg0bfn30ln1i0,yg0bfn30nn1i0,3.132,1.566,48
yg0bfn30ln1i5,yg0bfn30nn1i5,4.292,1.566,68
yg0bfn30ln1j0,yg0bfn30nn1j0,5.452,1.566,88
yg0bfn30nn1a0,yg0bfn30nn1a0,0.464,1.566,4
yg0bfn30nn1a5,yg0bfn30nn1a5,0.464,1.566,4
yg0bfn30nn1b0,yg0bfn30nn1b0,0.464,1.566,4
yg0bfn30nn1b5,yg0bfn30nn1b5,0.58,1.566,4
yg0bfn30nn1c0,yg0bfn30nn1c0,0.58,1.566,6
yg0bfn30nn1c5,yg0bfn30nn1c5,0.58,1.566,6
yg0bfn30nn1d0,yg0bfn30nn1d0,0.696,1.566,6
yg0bfn30nn1d5,yg0bfn30nn1d5,0.696,1.566,6
yg0bfn30nn1e0,yg0bfn30nn1e0,0.696,1.566,7
yg0bfn30nn1e5,yg0bfn30nn1e5,0.812,1.566,9
yg0bfn30nn1f0,yg0bfn30nn1f0,1.044,1.566,11
yg0bfn30nn1f5,yg0bfn30nn1f5,1.16,1.566,13
yg0bfn30nn1g0,yg0bfn30nn1g0,1.392,1.566,20
yg0bfn30nn1g5,yg0bfn30nn1g5,1.74,1.566,24
yg0bfn30nn1h0,yg0bfn30nn1h0,2.204,1.566,32
yg0bfn30nn1h5,yg0bfn30nn1h5,2.436,1.566,36
yg0bfn30nn1i0,yg0bfn30nn1i0,3.132,1.566,48
yg0bfn30nn1i5,yg0bfn30nn1i5,4.292,1.566,68
yg0bfn30nn1j0,yg0bfn30nn1j0,5.452,1.566,88
yg0bfr10ln1c0,yg0bfr10nn1c0,0.58,1.566,4
yg0bfr10ln1c3,yg0bfr10nn1c3,0.58,1.566,4
yg0bfr10ln1c5,yg0bfr10nn1c5,0.58,1.566,6
yg0bfr10ln1c7,yg0bfr10nn1c7,0.58,1.566,6
yg0bfr10ln1d0,yg0bfr10nn1d0,0.58,1.566,6
yg0bfr10ln1d3,yg0bfr10nn1d3,0.696,1.566,6
yg0bfr10ln1d5,yg0bfr10nn1d5,0.696,1.566,6
yg0bfr10ln1d7,yg0bfr10nn1d7,0.812,1.566,8
yg0bfr10ln1e0,yg0bfr10nn1e0,0.812,1.566,8
yg0bfr10ln1e3,yg0bfr10nn1e3,0.812,1.566,8
yg0bfr10ln1e5,yg0bfr10nn1e5,0.928,1.566,9
yg0bfr10ln1e7,yg0bfr10nn1e7,0.928,1.566,11
