AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0fso05lnha0,,,2.88,1.14,,,,
ai0fso05lnhb0,,,2.88,1.14,,,,
ai0fso05lnhc0,,,2.88,1.14,,,,
ai0fso05lnhd0,,,3.33,1.14,,,,
ai0fso05lnhe0,,,3.42,1.14,,,,
ai0fso05lnhf0,,,3.78,1.14,,,,
ai0fso05nnha0,,,2.88,1.14,,,,
ai0fso05nnhb0,,,2.88,1.14,,,,
ai0fso05nnhc0,,,2.88,1.14,,,,
ai0fso05nnhd0,,,3.33,1.14,,,,
ai0fso05nnhe0,,,3.42,1.14,,,,
ai0fso05nnhf0,,,3.78,1.14,,,,
ai0fsx00lnha0,,,3.06,1.14,,,,
ai0fsx00lnha5,,,2.97,1.14,,,,
ai0fsx00lnhb0,,,2.97,1.14,,,,
ai0fsx00lnhb5,,,2.97,1.14,,,,
ai0fsx00lnhc0,,,2.97,1.14,,,,
ai0fsx00lnhc5,,,3.06,1.14,,,,
ai0fsx00lnhd0,,,3.06,1.14,,,,
ai0fsx00lnhd5,,,3.15,1.14,,,,
ai0fsx00lnhe0,,,3.15,1.14,,,,
ai0fsx00lnhe5,,,3.42,1.14,,,,
ai0fsx00lnhf0,,,3.42,1.14,,,,
ai0fsx00lnhf5,,,3.6,1.14,,,,
ai0fsx00lnhg0,,,3.87,1.14,,,,
ai0fsx00lnhg5,,,4.05,1.14,,,,
ai0fsx00lnhh0,,,4.86,1.14,,,,
ai0fsx00nnha0,,,3.06,1.14,,,,
ai0fsx00nnha5,,,2.97,1.14,,,,
ai0fsx00nnhb0,,,2.97,1.14,,,,
ai0fsx00nnhb5,,,2.97,1.14,,,,
ai0fsx00nnhc0,,,2.97,1.14,,,,
ai0fsx00nnhc5,,,3.06,1.14,,,,
ai0fsx00nnhd0,,,3.06,1.14,,,,
ai0fsx00nnhd5,,,3.15,1.14,,,,
ai0fsx00nnhe0,,,3.15,1.14,,,,
ai0fsx00nnhe5,,,3.42,1.14,,,,
ai0fsx00nnhf0,,,3.42,1.14,,,,
ai0fsx00nnhf5,,,3.6,1.14,,,,
ai0fsx00nnhg0,,,3.87,1.14,,,,
ai0fsx00nnhg5,,,4.05,1.14,,,,
ai0fsx00nnhh0,,,4.86,1.14,,,,
ai0ftn00lnhd0,,,1.62,1.14,,,,
ai0ftn00nnhd0,,,1.62,1.14,,,,
ai0ftn00nnhf0,,,2.16,1.14,,,,
ai0gbf12nn0b0,,,0.99,1.14,,,,
ai0gbf12nn0e0,,,1.17,1.14,,,,
ai0gbf12nn0f0,,,1.53,1.14,,,,
ai0inn00nn0c7,,,0.27,1.14,,,,
ai0inn00nn0d0,,,0.27,1.14,,,,
ai0inn00nn0e3,,,0.36,1.14,,,,
ai0inn00nn0f0,,,0.45,1.14,,,,
ai0inn00nn0f5,,,0.54,1.14,,,,
ai0inn00nn0g0,,,0.63,1.14,,,,
ai0inn00nn0g5,,,0.99,1.14,,,,
ai0inn00nn0g7,,,1.08,1.14,,,,
ai0inn00nn0h0,,,1.17,1.14,,,,
ai0inn00nn0h3,,,1.35,1.14,,,,
ai0inn00nn0h5,,,1.44,1.14,,,,
ai0inn00nn0i0,,,1.8,1.14,,,,
ai0inn00nn0i5,,,2.25,1.14,,,,
ai0inn00nn0j5,,,3.51,1.14,,,,
ai0inn00nnpf0,,,0.45,1.14,,,,
ai0inn00nnpf3,,,0.54,1.14,,,,
ai0inn00nnpj0,,,2.52,1.14,,,,
ai0inn30lnpg5,,,1.17,1.14,,,,
ai0inn30nnpc0,,,0.27,1.14,,,,
ai0inn60lnpe3,,,0.45,1.14,,,,
