Toolset	Type	Date	Summary
mat1.5.9.p1	New	2019-08-13	Activated p1276.31 for MTL and GNR programs. Available variants are bn and cn. @dfa(p1276,31 technology activated) @toolset(mat1.5.9.p1) @public
Unknown	Fixed	2019-08-13	Test failures. Added p1273.1 xd and gd variants back into process registry. Removed p1276.x dn variant due to MW/FRAM and ldb misalignment.  Planning to reactivate before next version released.  @dfa(p1273.1 and p1276.x variant support) @toolsets(all)
mat1.5.9.p1	Fixed	2019-08-13	Upgraded p1276 .21 and .31 kits_7nm from 19.2.1.1 to 19.2.2.p6 to deactivate dependency on rlstech @ddi(rlstech removed as syn flow dependency) @toolset(mat1.5.9.p1)
mat1.5.9.p1	Improved	2019-08-13	Updated p1273.1 gd variant pv corner default to be common between refhdk and siphdk. Used refhdk default from newly merged pv_conditions_data. @dfa(p1273.1 gd corner default) @toolset(mat1.5.9.p1)
mat1.5.9.p1	Fixed	2019-08-13	Upgraded siphdk backend config rdt_sd_common_overrides from siphdk_mat15_19.25.00 to siphdk_mat15_19.33.00 to initialize G_PDK_SKEW early in syn flow. @dfa(rdt_sd_common_overrides update for hdk1.5.9) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Fixed	2019-08-13	Upgraded siphdk backend config rdt from 19.01.01 to 19.02.007 to align with central HDK sd_build regressions. @dfa(rdt upgrade) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Fixed	2019-08-13	Upgraded siphdk backend config sd_build from 19.2.1.1 to 19.2.2.p3 to support kits_7nm, iPDS 12.120a, and FDR bug fix. @dfa(sd_build upgrade) @toolset(mat1.5.9.p1) @hsd(https://hsdes.intel.com/resource/1605366383) @hsd(https://hsdes.intel.com/resource/1409790962) @public
mat1.5.9.p1	Fixed	2019-08-07	Downgraded kits_7nm version to capture fix related to G_MW_TECH_FILE setting.  Previous version did not have native fix for p1276.21. @dfa(kits_7nm downgrade) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Fixed	2019-08-07	Updated proj_ft from 19.01.03 to 19.03.01 to resolve false fishtail passes under febe and fix issue with fishtail sdc generation @dfa(fishtail setup fix) @toolset(mat1.5.9.p1) @public @hsd(https://hsdes.intel.com/appstore/article/#/1409521405) @hsd(https://hsdes.intel.com/resource/1606875491)
mat1.5.9.p1	Fixed	2019-08-07	Unit test failure. Changed p1276.x default voltage from 550mV to 650mV to resolve failure. Will set up SIP CCB defaults when all tests pass. @dfa(pv_conditions_data p1276 default) @toolset(mat1.5.9.p1) @public
mat1.5.9.p1	Fixed	2019-08-07	Fixed siphdk pv_conditions_data for p1274.7 for dot_process typo. @dfa(pv_conditions_data p1274.7 fix) @toolset(mat1.5.9.p1)
mat1.5.9.p1	Fixed	2019-08-07	Fixed bug in siphdk lib_attribute_data for p1276.x where illegal cell list was incorrect name. @dfa(lib_attribute_data p1276 fix) @toolset(mat1.5.9.p1)
mat1.5.9.p1	Unknown	2019-08-07	Clarified existing backend config comments to be siphdk only @dfa(comments only) @toolset(mat1.5.9.p1)
all	Fixed	2019-08-07	Updated stdcell_rtl_lib generator to properly handle cases where "CTECH_" or "CTECH_EXP_" appears in the directory path. @dfa(stdcell_rtl_lib bug fix) @toolset(all) @public @hsd(https://hsdes.intel.com/appstore/article/#/1607100520)
all	Fixed	2019-08-07	Added p1276.31 support in new_repo_setup UPF cfg generator @dfa(updated new_repo_setup upf generator) @toolset(all)
all	Fixed	2019-08-07	#Fixed: Added default febe 1276.31 CTECH* BASELINE_VER initialization for p1276.31 @dfa(1276 febe initialization fix) @toolset(all)
mat1.5.9.p1	Fixed	2019-08-05	Resolved test failure from bug in lib_ver_data for p1274.7 p1274.13 p1276.21 p1276.31. hs and special libraries did not have lib_type set to base library family @dfa(lib_ver_data bug fix) @toolset(mat1.5.9.p1)
all	Fixed	2019-08-05	Updated blocksetup G_lappend feature to use lappend_var instead of lappend. @dfa(SetupMaker fix) @toolset(all) @public @hsd(https://hsdes.intel.com/resource/1409480745)
mat1.5.9.p1	Improved	2019-08-05	Added lib_settings_data override manifest to p1273.1 backend configuration. Native p1276.31 libraries are not available yet. @dfa(lib_settings_data manifest override for p1276.31) @toolset(mat1.5.9.p1) @public
Unknown	Unknown	2019-08-05	Merge branch 'master' of ssh://git-amr-2.devtools.intel.com:29418/dts_cds_fedv-tsa_master
mat1.5.9.p1	Improved	2019-08-05	Merged siphdk backend configulate settings with hdk1.5.11 baseline for easier siphdk vs refhdk audit. @dfa(merged configulate settings between sip and baseline) @toolset(mat1.5.9.p1)
