TOOL	MAT_RULE	1.05.01	1.05.02	1713.17ww24f	1713.17ww31e	1713.17ww38c	1713.17ww50f	1713.18ww01e	1713.18ww04b	1713.18ww09c	1713.18ww13d	1713.18ww15g
spyglass_methodology_lp		1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38	1.03.02.16ww38
starving_artist		15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1	15.26.1
synplifypro		I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1	I-2014.03_p1
tessent		2016.2	2016.2	2016.2	2016.2	2016.2	2016.2	2016.2	2016.2	2016.2	2016.2	2016.2
uvm		1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2
vcsmx	version_in_MAT	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP2-11	L-2016.06-SP2-11	L-2016.06-SP2-11	L-2016.06-SP2-11	L-2016.06-SP2-11
vcst		J-2014.12-SP3-6	J-2014.12-SP3-6	J-2014.12-SP3-6	J-2014.12-SP3-6	J-2014.12-SP3-6	J-2014.12-SP3-6	J-2014.12-SP3-6	L-2016.06-2	L-2016.06-2	L-2016.06-2	L-2016.06-2
verdi3	version_in_MAT	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1	L-2016.06-SP1-1
vggnu		2016.06	2016.06	2016.06	2016.06	2016.06	2016.06	2016.06	2016.06	2016.06	2016.06	2016.06
vipcat	version_in_MAT	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015	vipcat_3psi_11.30-s035-28-08-2015
visaflow	consumer_greater_or_equal	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01	3.30.01
visait	consumer_greater_or_equal	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8	3.11.8
xvm		1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1	1.0.1
zirconqa	version_in_MAT	2.08.15	2.08.15	2.08.17	2.08.17	2.08.17	2.08.17	2.08.17	2.08.17	2.10.01	2.10.01	2.10.01
zirconqarules											2.10.01	2.10.01
zirconqarules	version_in_MAT									2.10.01		
