Flow,Error Code,lor1,Comment,Description
DVE,FM_82,enable,,FM_82: floating metal8 not connected to diff or gate with facing edge > FM_82
DVE,FM_83,enable,,FM_83: area of floating metal8 not connected to diff or gate > FM_83 with facing edge > 0
DVE,fntap,enable,,fntap: fntap - floating N pickup in nwell
DVE,GD_01,disable,Global density,GD_01: global pdiff density < GD_01
DVE,GD_02/pdiff_not_gate,disable,Global density,GD_02/pdiff_not_gate: global pdiff density > GD_02
DVE,GD_03,disable,Global density,GD_03: global ndiff density < GD_03
DVE,GD_04/ndiff_not_gate,disable,Global density,GD_04/ndiff_not_gate: global ndiff density > GD_04
DVE,GD_21,disable,Global density,GD_21: global metal1 density < GD_21
DVE,GD_22,disable,Global density,GD_22: global metal2 density < GD_22
DVE,GD_23,disable,Global density,GD_23: global metal3 density < GD_23
DVE,GD_24,disable,Global density,GD_24: global metal4 density < GD_24
DVE,GD_25,disable,Global density,GD_25: global metal5 density < GD_25
DVE,GD_26,disable,Global density,GD_26: global metal6 density < GD_26
DVE,GD_27,disable,Global density,GD_27: global metal7 density < GD_27
DVE,GD_28,disable,Global density,GD_28: global metal8 density < GD_28
DVE,GD_29,disable,Global density,GD_29: global metal9 density < GD_29
DVE,GD_31/metal1,disable,Global density,GD_31/metal1: global metal1 density > GD_31
DVE,GD_31/metal2,disable,Global density,GD_31/metal2: global metal2 density > GD_31
DVE,GD_31/metal3,disable,Global density,GD_31/metal3: global metal3 density > GD_31
DVE,GD_31/metal4,disable,Global density,GD_31/metal4: global metal4 density > GD_31
DVE,GD_31/metal5,disable,Global density,GD_31/metal5: global metal5 density > GD_31
DVE,GD_31/metal6,disable,Global density,GD_31/metal6: global metal6 density > GD_31
DVE,GD_31/metal7,disable,Global density,GD_31/metal7: global metal7 density > GD_31
DVE,GD_31/metal8,disable,Global density,GD_31/metal8: global metal8 density > GD_31
DVE,GD_32/metal9,disable,Global density,GD_32/metal9: global metal9 density > GD_32
DVE,gnacerr,enable,,gnacerr: pgated nacid layer overlaps the pgate area
DVE,gnacerr,enable,,gnacerr: nngate area not completely enclosed by gated nacid layer
DVE,illdev,enable,,illdev: illdev - illegal device formation - ngate in well
DVE,illdev,enable,,illdev: illdev - illegal device formation - pgate not well
DVE,illdev,enable,,illdev: illdev - illegal device formation - nwell and wellres_id
DVE,illdev,enable,,illdev: illdev - illegal device formation - gate and wellres_id
DVE,illdev,enable,,illdev: illdev - illegal device formation - gate and pres_id
